name	cost
Commun. & L Gov.	33909
Clg Local Government	27833
Clg Communities	3891
Home & Communities Agency	2103
The Planning Inspectorate	38
West Northamptonshire Development Corporation	21
Commission For Local Administration Clg Main	14
Valuation Tribunal Service Clg Main	9
Leasehold Advisory Service	1
The Housing Ombudsman	0
	
Ministry Of Justice	8133
Ministry Of Justice.	7731
Youth Justice Board	228
Criminal Injuries Compensation Authority	147
Parole Board	13
Criminal Cases Review Commission	6
Information Commissioner's Office	4
Judicial Appointments Commission	4
Office Of Legal Complaints	0
	
Work & Pensions	170579
Department For Work & Pensions	170065
Independent Living Fund	293
Health & Safety Executive	129
The Pensions Regulator	57
Health & Safety Laboratory	29
The Pensions Advisory Service	3
The Pensions Ombudsman	3
	
MoD	43282
MoD.	43090
T.A.V.R A. Est Under S110 Of The Reserve Act 1996	110
Commonwealth War Graves Commission	49
Royal Hospital Chelsea	12
Royal Air Force Museum	9
National Army Museum	6
National Museum Of The Royal Navy	5
	
Home Office	12254
Home Office.	12134
College Of Policing	57
Independent Police Complaints Commission	45
Disclosure & Barring Service (DBS)	13
Office Of The Immigration Services Commissioner	4
Security Industry Authority	2
National Policing Improvement Agency	0
	
Energy & C. Change	7989
Nuclear Decommissioning Authority	8617
Coal Authority	9
Committee On Climate Change	4
Civil Nuclear Police Authority & Constabulary	1
Department Of Energy & C. Change	-642
	
HM Treasury	-3988
Royal Household	38
Office For Budget Responsibility	2
Financial Services Compensation Scheme	0
Money Advice Service	0
HM Treasury.	-4029
	
Education	56749
Department For Education	42868
Academies	13755
Children & Family Court Advisory & Support Service	124
Children's Commissioner.	2
	
Welsh Assembly Government	16078
Welsh Assembly Government.	16018
National Assembly For Wales	50
Wales Audit Office	5
Public Service Ombudsman Wales	4
	
Foreign & C. Office	2407
Foreign & C. Office.	2102
BBC World Service	299
Westminster Foundation For Democracy	6
	
Cabinet Office	479
Cabinet Office.	477
Civil Service Commission	2
	
Others	150792
HM Revenue & Customs	46457
Scottish Government	32304
Northern Ireland Executive	19066
National Health Service Pension Scheme	13933
Teachers' Pension Scheme (ENGLAND & Wales)	10213
Department For International Development	10103
Cabinet Office: Civil Superannuation	8246
Armed Forces Pension & Compensation Schemes	5414
Royal Mail Statutory Pension Scheme	1355
Ministry Of Justice: Judicial Pensions Scheme	654
National Crime Agency	653
The Crown Prosecution Service	523
House Of Commons: Administration	251
Ukaea Pension Schemes	243
Statistics Board	186
Office For Standards In Educ Children & Skills	161
UK Trade & Investment	161
Independent Parliamentary Standards Authority	159
National Savings & Investments	157
House Of Lords	105
Food Standards Agency	95
National Audit Office	75
Serious Fraud Office	53
Overseas Superannuation	46
Office Of Fair Trading	38
The National Archives	36
Parly Commissioner For Admin & Health Services Eng	35
House Of Commons: Members	34
Northern Ireland Office	26
Charity Commission	23
Office Of Qualifications & Examinations Regulation	18
Electoral Commission	16
Scotland Office & Office Of The Advocate General	7
United Kingdom Supreme Court	7
HM Procurator General & Treasury Solicitor	5
Wales Office	4
Water Services Regulation Authority	4
Competition & Markets Authority	2
Crown Estate Office	2
Local Government Boundary Commission For England	2
Office Of Gas & Electricity Markets	2
Office Of Rail Regulation	1
Government Actuary's Department	-1
Export Credits Guarantee Department	-83
